City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
273,Sibolga,ID,74.75,1.7427,98.7792,
274,Gravelbourg,CA,52.3,49.8834,-106.5512,
275,Cepu,ID,77.13,-7.1475,111.5906,
276,Rafraf,TN,64.71,37.1904,10.1837,
277,Gumdag,TM,56.82,39.2061,54.5906,
279,Bouca,CF,72.9,6.5105,18.2733,
282,Collie,AU,53.82,-33.3667,116.15,
285,Bure,ET,54.99,10.7,37.0667,
286,Sharjah,AE,83.25,25.3573,55.4033,
287,Vallenar,CL,79.45,-28.5708,-70.7581,
288,Paita,PE,70.36,-5.0892,-81.1144,
289,Copiapo,CL,55.09,-27.3667,-70.3333,
290,Toyooka,JP,51.91,35.5333,134.8333,
291,San Cristobal,VE,75.38,7.7669,-72.225,
292,Bonavista,CA,56.12,48.6499,-53.1147,
293,Marzuq,YE,71.24,14.4,46.4667,
294,Stanger,ZA,59.99,-29.3282,31.2895,
295,Mayo,US,69.24,38.8876,-76.5119,
