City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
79,Duluth,US,2021-10-22 01:18:49,46.7833,-92.1066,42.35,66,1,6.91
80,Acarau,BR,2021-10-22 01:19:35,-2.8856,-40.12,79.86,81,61,12.3
81,Saint-Philippe,RE,2021-10-22 01:23:31,-21.3585,55.7679,71.19,77,1,8.16
82,East Hampton,US,2021-10-22 01:15:26,37.0374,-76.3316,71.65,62,1,7.0
83,Meridian,US,2021-10-22 01:19:36,43.6121,-116.3915,70.65,37,1,1.99
84,Toyooka,JP,2021-10-22 01:19:36,35.5333,134.8333,62.71,77,75,2.3
85,Puerto Baquerizo Moreno,EC,2021-10-22 01:19:37,-0.9,-89.6,69.69,87,58,9.98
86,Tazovskiy,RU,2021-10-22 01:23:32,67.4667,78.7,24.46,98,100,3.02
87,Sioux Lookout,CA,2021-10-22 01:23:32,50.1001,-91.917,35.98,75,75,3.44
88,Sambava,MG,2021-10-22 01:19:37,-14.2667,50.1667,69.73,85,86,4.29
89,Udachnyy,RU,2021-10-22 01:23:33,66.4167,112.4,20.71,94,100,2.17
90,Marfino,RU,2021-10-22 01:23:33,55.7028,37.3822,55.35,68,0,15.66
91,Beisfjord,NO,2021-10-22 01:19:38,68.3751,17.5988,37.26,80,100,8.05
92,Malinyi,TZ,2021-10-22 01:19:38,-8.9333,36.1333,73.69,63,43,2.37
93,Murupara,NZ,2021-10-22 01:19:39,-38.4667,176.7,64.27,39,100,4.36
94,Starkville,US,2021-10-22 01:19:39,33.4504,-88.8184,67.77,92,1,5.55
95,Aksarka,RU,2021-10-22 01:19:39,66.5606,67.7975,28.83,90,100,7.38
96,Hagerstown,US,2021-10-22 01:19:40,39.6418,-77.72,69.12,71,57,1.01
97,Gritsovskiy,RU,2021-10-22 01:19:40,54.1376,38.1604,50.5,70,100,19.64
98,New Norfolk,AU,2021-10-22 01:23:34,-42.7826,147.0587,68.67,56,100,1.99
99,Torbay,CA,2021-10-22 01:22:27,47.6666,-52.7314,45.75,81,75,16.11
100,Bandarbeyla,SO,2021-10-22 01:23:01,9.4942,50.8122,75.63,87,98,4.92
101,Tanem,NO,2021-10-22 01:19:41,63.3078,10.4319,40.93,88,98,23.26
102,Esperance,AU,2021-10-22 01:23:35,-33.8667,121.9,59.54,65,100,14.38
103,Valparaiso,CL,2021-10-22 01:19:41,-33.0393,-71.6273,56.84,76,0,3.44
104,Norman Wells,CA,2021-10-22 01:23:36,65.282,-126.8329,37.44,75,20,6.91
105,Barrow,US,2021-10-22 01:22:14,71.2906,-156.7887,28.42,93,90,8.05
106,Velikiy Ustyug,RU,2021-10-22 01:19:42,60.7644,46.3106,44.92,99,100,8.08
107,Chokurdakh,RU,2021-10-22 01:23:36,70.6333,147.9167,-12.62,95,49,3.71
108,Tiksi,RU,2021-10-22 01:23:37,71.6872,128.8694,8.78,94,100,10.02
109,Castro,BR,2021-10-22 01:23:37,-24.7911,-50.0119,51.3,93,0,5.46
110,Bar Harbor,US,2021-10-22 01:23:38,44.3876,-68.2039,56.93,90,75,5.75
111,Banda Aceh,ID,2021-10-22 01:23:38,5.5577,95.3222,79.27,80,100,0.45
112,Timberlake,US,2021-10-22 01:19:43,37.3207,-79.2575,67.62,76,1,4.61
113,Rawson,AR,2021-10-22 01:23:38,-43.3002,-65.1023,51.31,64,98,10.76
114,Kaitangata,NZ,2021-10-22 01:23:39,-46.2817,169.8464,60.1,55,0,8.9
115,Cabo Rojo,PR,2021-10-22 01:19:43,18.0866,-67.1457,81.68,85,2,1.01
116,Hithadhoo,MV,2021-10-22 01:23:39,-0.6,73.0833,81.63,73,99,7.16
117,Kavaratti,IN,2021-10-22 01:19:44,10.5669,72.642,81.72,78,99,9.75
118,Bredy,RU,2021-10-22 01:19:44,52.4153,60.3411,33.76,95,100,20.76
